customer_id,age_group,location,customer_segment,previous_orders,average_order_value
CUST-0001,18-24,Mumbai,Budget Conscious,2,1660.48
CUST-0002,35-44,Mumbai,Regular,3,4952.46
CUST-0003,18-24,Bengaluru,Budget Conscious,5,3186.66
CUST-0004,35-44,Hyderabad,Bargain Hunter,8,1284.97
CUST-0005,35-44,Pune,High Value,13,26849.76
CUST-0006,25-34,Chennai,Budget Conscious,3,1537.29
CUST-0007,18-24,Kolkata,Bargain Hunter,6,2575.68
CUST-0008,25-34,Ahmedabad,Regular,8,2394.0
CUST-0009,35-44,Pune,Tech Enthusiast,17,9786.16
CUST-0010,35-44,Hyderabad,High Value,15,28872.85
CUST-0011,45-54,Mumbai,Regular,8,3389.87
CUST-0012,18-24,Chennai,Budget Conscious,6,2081.03
CUST-0013,25-34,Mumbai,Budget Conscious,6,2007.88
CUST-0014,25-34,Ahmedabad,Regular,12,5440.81
CUST-0015,35-44,Hyderabad,Bargain Hunter,2,1303.91
CUST-0016,35-44,Bengaluru,Budget Conscious,1,1896.24
CUST-0017,18-24,Chennai,Tech Enthusiast,18,18632.76
CUST-0018,18-24,Ahmedabad,High Value,25,22552.39
CUST-0019,45-54,Kolkata,Budget Conscious,2,4491.18
CUST-0020,25-34,Delhi NCR,High Value,9,31249.78
CUST-0021,25-34,Delhi NCR,Bargain Hunter,8,2112.1
CUST-0022,25-34,Kolkata,Regular,10,3257.07
CUST-0023,35-44,Bengaluru,High Value,25,28273.7
CUST-0024,18-24,Chennai,Budget Conscious,4,1210.71
CUST-0025,55+,Pune,Bargain Hunter,10,2807.78
CUST-0026,35-44,Pune,Tech Enthusiast,7,6445.43
CUST-0027,25-34,Delhi NCR,Bargain Hunter,10,2820.69
CUST-0028,25-34,Chennai,High Value,19,31725.49
CUST-0029,18-24,Pune,Budget Conscious,5,4324.93
CUST-0030,35-44,Mumbai,Bargain Hunter,10,2484.84
CUST-0031,35-44,Delhi NCR,Regular,4,3325.28
CUST-0032,55+,Kolkata,Regular,5,5564.74
CUST-0033,55+,Kolkata,Tech Enthusiast,11,18393.83
CUST-0034,18-24,Ahmedabad,Budget Conscious,3,1269.41
CUST-0035,25-34,Hyderabad,High Value,30,25039.78
CUST-0036,18-24,Hyderabad,High Value,18,9913.15
CUST-0037,25-34,Hyderabad,Tech Enthusiast,12,6116.99
CUST-0038,18-24,Ahmedabad,Tech Enthusiast,10,7046.56
CUST-0039,35-44,Mumbai,Budget Conscious,4,2741.18
CUST-0040,35-44,Bengaluru,Regular,3,2303.06
CUST-0041,35-44,Chennai,High Value,14,13135.64
CUST-0042,18-24,Ahmedabad,Budget Conscious,4,2024.36
