transaction_id,order_id,customer_id,product_id,timestamp,amount,payment_method,payment_status,failure_reason,processing_time,device_type
TXN-000001,ORD-00004,CUST-0260,PROD-AUD-002,2026-07-25 01:48:26,3899.0,Card,FAILED,BANK_DECLINED,2.6,Mobile
TXN-000002,ORD-00005,CUST-0084,PROD-LAP-006,2026-08-04 17:13:13,49990.0,UPI,SUCCESS,NONE,2.38,Desktop
TXN-000003,ORD-00006,CUST-0108,PROD-ACC-001,2026-06-27 09:51:50,8995.0,Card,SUCCESS,NONE,6.18,Desktop
TXN-000004,ORD-00007,CUST-0180,PROD-ACC-002,2026-06-08 07:18:34,7499.0,UPI,SUCCESS,NONE,3.94,Mobile
TXN-000005,ORD-00008,CUST-0239,PROD-PHN-003,2026-08-10 12:22:27,17499.0,UPI,FAILED,TIMEOUT,3.56,Mobile
TXN-000006,ORD-00011,CUST-0241,PROD-ACC-002,2026-06-08 01:38:52,7499.0,UPI,SUCCESS,NONE,3.89,Mobile
TXN-000007,ORD-00012,CUST-0054,PROD-LAP-003,2026-06-07 13:19:57,59990.0,UPI,SUCCESS,NONE,3.78,Mobile
TXN-000008,ORD-00013,CUST-0193,PROD-AUD-005,2026-07-06 05:26:26,22990.0,Card,SUCCESS,NONE,4.5,Mobile
TXN-000009,ORD-00014,CUST-0003,PROD-LAP-004,2026-07-11 12:56:51,38990.0,UPI,SUCCESS,NONE,2.41,Desktop
TXN-000010,ORD-00015,CUST-0052,PROD-AUD-004,2026-06-29 21:30:15,1999.0,Card,SUCCESS,NONE,5.51,Mobile
TXN-000011,ORD-00016,CUST-0214,PROD-LAP-004,2026-07-26 23:02:50,38990.0,UPI,SUCCESS,NONE,2.18,Mobile
TXN-000012,ORD-00017,CUST-0145,PROD-AUD-009,2026-08-12 16:16:32,2299.0,Card,FAILED,TIMEOUT,2.71,Mobile
TXN-000013,ORD-00018,CUST-0291,PROD-AUD-008,2026-08-02 16:42:28,7990.0,UPI,SUCCESS,NONE,4.33,Tablet
TXN-000014,ORD-00019,CUST-0230,PROD-ACC-002,2026-08-04 21:30:42,7499.0,UPI,SUCCESS,NONE,1.73,Desktop
TXN-000015,ORD-00020,CUST-0126,PROD-WAT-002,2026-08-25 09:32:34,4299.0,Card,SUCCESS,NONE,2.84,Mobile
TXN-000016,ORD-00021,CUST-0252,PROD-PHN-001,2026-07-09 13:36:25,24999.0,Wallet,SUCCESS,NONE,1.43,Mobile
TXN-000017,ORD-00022,CUST-0257,PROD-AUD-010,2026-07-10 00:24:35,4699.0,Card,SUCCESS,NONE,5.15,Mobile
TXN-000018,ORD-00023,CUST-0003,PROD-PHN-005,2026-08-06 01:35:10,22999.0,Wallet,SUCCESS,NONE,1.52,Mobile
